id,order_id,menu_id,price_level_id,ordered_menu_id,order_check_id,modifier_adjective_id,cancelled_order_id,seat_number,quantity,price,original_price,item_discount,check_discount,discount,tax,tax_exempt,taxable_price,unit_price,for_kitchen_display,time_sent,index,is_printed,cost,note,is_held,name,receipt_name,kitchen_name,employee_log_id,menu_description,time_bumped,tax_id,is_checked,kds_last_update,is_taxed_removed,no_tax_price,refunded_qty,created_on,modified_on,item_gross_total,item_original_wo_vat,item_discount_main,item_discount_adj,vatable_original,vatable_sales_discounted,vatable_amount,vatable_sub_total,vat_exempt_sales,vat_exempt_sales_discounted,vat_exempt_amount,vat_exempt_sub_total,non_vatable_exempt_sales,non_vatable_sub_total,zero_rated_value,zero_rated_sub_total,sub_total,is_cancelled,reason,is_removed_queueing,guest_count
0000324031,0000019074,00000124,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,2,1,0.0000,NULL,0,Woosamgyup,B1,Woosamgyup,292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324032,0000019074,00000125,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,3,1,0.0000,NULL,0,"Beef Bulgogi",B2,"Beef Bulgogi",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324033,0000019074,00000126,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,4,1,0.0000,NULL,0,"Asian Gochu Woosamgyup",B3,"Asian Gochu Woosamgyup",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324034,0000019074,00000124,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,5,1,0.0000,NULL,0,Woosamgyup,B1,Woosamgyup,292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324035,0000019074,00000125,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,6,1,0.0000,NULL,0,"Beef Bulgogi",B2,"Beef Bulgogi",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324036,0000019074,00000126,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,7,1,0.0000,NULL,0,"Asian Gochu Woosamgyup",B3,"Asian Gochu Woosamgyup",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324037,0000019074,00000076,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,8,1,0.0000,NULL,0,"Egg Souffle","Egg Souffle","Egg Souffle",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324038,0000019074,00000125,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,9,1,0.0000,NULL,0,"Beef Bulgogi",B2,"Beef Bulgogi",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324039,0000019074,00000124,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,10,1,0.0000,NULL,0,Woosamgyup,B1,Woosamgyup,292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
0000324040,0000019074,00000126,001,NULL,0000019079,NULL,NULL,1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,19:47:32,11,1,0.0000,NULL,0,"Asian Gochu Woosamgyup",B3,"Asian Gochu Woosamgyup",292,NULL,00:00:00,-1,0,NULL,0,0.0000,0.0000,"2025-07-01 19:47:32","2025-07-01 19:47:32",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0,1
