id,table_name,primary_id,desc,date_created,session_id,terminal_session_id,created_on,modified_on
70956,order_checks,18717,Receipt,"2025-06-25 16:59:49",268,269,"2025-06-25 16:59:49","2025-06-25 16:59:49"
70955,order_checks,18716,Receipt,"2025-06-25 16:57:31",268,269,"2025-06-25 16:57:31","2025-06-25 16:57:31"
70954,order_checks,18717,Receipt,"2025-06-25 16:55:45",268,269,"2025-06-25 16:55:45","2025-06-25 16:55:45"
70953,order_checks,18714,Receipt,"2025-06-25 16:53:10",268,269,"2025-06-25 16:53:10","2025-06-25 16:53:10"
70952,order_checks,18711,Receipt,"2025-06-25 16:53:01",268,269,"2025-06-25 16:53:01","2025-06-25 16:53:01"
70951,order_checks,18712,Receipt,"2025-06-25 16:52:54",268,269,"2025-06-25 16:52:54","2025-06-25 16:52:54"
70950,order_checks,18716,Receipt,"2025-06-25 16:52:06",268,269,"2025-06-25 16:52:06","2025-06-25 16:52:06"
70949,order_checks,18715,Receipt,"2025-06-25 16:50:26",268,269,"2025-06-25 16:50:26","2025-06-25 16:50:26"
70948,order_checks,18710,Receipt,"2025-06-25 16:47:10",268,269,"2025-06-25 16:47:10","2025-06-25 16:47:10"
70947,order_checks,18713,Receipt,"2025-06-25 16:46:51",268,269,"2025-06-25 16:46:51","2025-06-25 16:46:51"
70946,order_checks,18711,Receipt,"2025-06-25 16:41:43",268,269,"2025-06-25 16:41:43","2025-06-25 16:41:43"
70945,order_checks,18714,Receipt,"2025-06-25 16:41:34",268,269,"2025-06-25 16:41:34","2025-06-25 16:41:34"
70944,order_checks,18712,Receipt,"2025-06-25 16:41:22",268,269,"2025-06-25 16:41:22","2025-06-25 16:41:22"
70943,order_checks,18713,Receipt,"2025-06-25 16:39:13",268,269,"2025-06-25 16:39:13","2025-06-25 16:39:13"
70942,order_checks,18707,Receipt,"2025-06-25 16:35:54",268,269,"2025-06-25 16:35:54","2025-06-25 16:35:54"
70941,order_checks,18709,Receipt,"2025-06-25 16:32:33",268,269,"2025-06-25 16:32:33","2025-06-25 16:32:33"
70940,order_checks,18708,Receipt,"2025-06-25 16:25:51",268,269,"2025-06-25 16:25:51","2025-06-25 16:25:51"
70939,order_checks,18706,Receipt,"2025-06-25 16:22:01",268,269,"2025-06-25 16:22:01","2025-06-25 16:22:01"
70938,order_checks,18710,Receipt,"2025-06-25 16:21:42",268,269,"2025-06-25 16:21:42","2025-06-25 16:21:42"
70937,order_checks,18709,Receipt,"2025-06-25 16:15:11",268,269,"2025-06-25 16:15:11","2025-06-25 16:15:11"
70936,order_checks,18711,Receipt,"2025-06-25 16:08:52",268,269,"2025-06-25 16:08:52","2025-06-25 16:08:52"
70935,order_checks,18712,Receipt,"2025-06-25 16:08:42",268,269,"2025-06-25 16:08:42","2025-06-25 16:08:42"
70934,order_checks,18711,Receipt,"2025-06-25 16:02:42",268,269,"2025-06-25 16:02:42","2025-06-25 16:02:42"
70933,order_checks,18707,Receipt,"2025-06-25 16:02:29",268,269,"2025-06-25 16:02:29","2025-06-25 16:02:29"
70932,order_checks,18706,Receipt,"2025-06-25 16:02:17",268,269,"2025-06-25 16:02:17","2025-06-25 16:02:17"
70931,order_checks,18710,Receipt,"2025-06-25 16:02:11",268,269,"2025-06-25 16:02:11","2025-06-25 16:02:11"
70930,order_checks,18705,Receipt,"2025-06-25 15:51:56",268,269,"2025-06-25 15:51:56","2025-06-25 15:51:56"
70929,order_checks,18704,Receipt,"2025-06-25 15:45:42",268,269,"2025-06-25 15:45:42","2025-06-25 15:45:42"
70928,order_checks,18708,Receipt,"2025-06-25 15:44:52",268,269,"2025-06-25 15:44:52","2025-06-25 15:44:52"
70927,order_checks,18709,Receipt,"2025-06-25 15:39:03",268,269,"2025-06-25 15:39:03","2025-06-25 15:39:03"
70926,order_checks,18708,Receipt,"2025-06-25 15:36:55",268,269,"2025-06-25 15:36:55","2025-06-25 15:36:55"
70925,order_checks,18708,Receipt,"2025-06-25 15:34:27",268,269,"2025-06-25 15:34:27","2025-06-25 15:34:27"
70924,order_checks,18706,Receipt,"2025-06-25 15:33:29",268,269,"2025-06-25 15:33:29","2025-06-25 15:33:29"
70923,order_checks,18705,Receipt,"2025-06-25 15:27:56",268,269,"2025-06-25 15:27:56","2025-06-25 15:27:56"
70922,order_checks,18705,Receipt,"2025-06-25 15:25:02",268,269,"2025-06-25 15:25:02","2025-06-25 15:25:02"
70921,order_checks,18706,Receipt,"2025-06-25 15:15:55",268,269,"2025-06-25 15:15:55","2025-06-25 15:15:55"
70920,order_checks,18704,Receipt,"2025-06-25 15:11:48",268,269,"2025-06-25 15:11:48","2025-06-25 15:11:48"
70919,order_checks,18708,Receipt,"2025-06-25 15:11:32",268,269,"2025-06-25 15:11:32","2025-06-25 15:11:32"
70918,order_checks,18707,Receipt,"2025-06-25 15:11:12",268,269,"2025-06-25 15:11:12","2025-06-25 15:11:12"
70917,order_checks,18706,Receipt,"2025-06-25 15:01:06",268,269,"2025-06-25 15:01:06","2025-06-25 15:01:06"
70916,order_checks,18704,Receipt,"2025-06-25 14:58:26",268,269,"2025-06-25 14:58:26","2025-06-25 14:58:26"
70915,order_checks,18703,Receipt,"2025-06-25 14:55:15",268,269,"2025-06-25 14:55:15","2025-06-25 14:55:15"
70914,order_checks,18705,Receipt,"2025-06-25 14:40:26",268,269,"2025-06-25 14:40:26","2025-06-25 14:40:26"
70913,order_checks,18701,Receipt,"2025-06-25 14:39:01",268,269,"2025-06-25 14:39:01","2025-06-25 14:39:01"
70912,order_checks,18704,Receipt,"2025-06-25 14:25:59",268,269,"2025-06-25 14:25:59","2025-06-25 14:25:59"
70911,order_checks,18703,Receipt,"2025-06-25 14:25:51",268,269,"2025-06-25 14:25:51","2025-06-25 14:25:51"
